epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.754,0.9109,1.53289,0.83881,0.24511,0.19775,0.14433,0.0761,0.96578,1.46862,0.81688,0.000237109,0.000237109,0.000237109
2,324.484,0.89942,1.49782,0.75423,0.26674,0.20616,0.15493,0.08261,0.95139,1.43939,0.79784,0.000465701,0.000465701,0.000465701
3,485.684,0.89105,1.47159,0.73616,0.26777,0.21864,0.15682,0.08416,0.94708,1.41963,0.77836,0.00068487,0.00068487,0.00068487
4,644.906,0.87659,1.43177,0.72363,0.26476,0.23141,0.16805,0.08868,0.93999,1.39078,0.77499,0.000671588,0.000671588,0.000671588
5,808.243,0.8753,1.39979,0.71919,0.29562,0.23517,0.18111,0.09684,0.93498,1.37283,0.76812,0.000657451,0.000657451,0.000657451
6,968.626,0.85116,1.36166,0.70776,0.2956,0.24993,0.18932,0.10176,0.91938,1.34202,0.75037,0.000643314,0.000643314,0.000643314
7,1127.58,0.83499,1.32115,0.69905,0.31523,0.26317,0.20807,0.11374,0.89196,1.2635,0.74492,0.000629177,0.000629177,0.000629177
8,1287.84,0.82951,1.29517,0.69404,0.31395,0.24977,0.20062,0.10915,0.89399,1.30354,0.74242,0.00061504,0.00061504,0.00061504
9,1446.22,0.82008,1.26651,0.68838,0.32828,0.26602,0.21805,0.12005,0.87033,1.23161,0.73108,0.000600902,0.000600902,0.000600902
10,1605.14,0.803,1.24193,0.68239,0.32246,0.26202,0.21628,0.12037,0.87382,1.24112,0.72293,0.000586765,0.000586765,0.000586765
11,1764.55,0.81066,1.22649,0.68064,0.34634,0.28233,0.2345,0.12757,0.86825,1.22163,0.72707,0.000572628,0.000572628,0.000572628
12,1923.77,0.79366,1.20434,0.67296,0.36563,0.28284,0.23891,0.13255,0.84537,1.18419,0.71758,0.000558491,0.000558491,0.000558491
13,2082.45,0.7857,1.18403,0.67055,0.35546,0.29049,0.24239,0.13242,0.85416,1.18344,0.72098,0.000544354,0.000544354,0.000544354
14,2240.74,0.78097,1.17252,0.66758,0.36294,0.2845,0.24743,0.13811,0.84271,1.16513,0.7072,0.000530216,0.000530216,0.000530216
15,2398.6,0.7746,1.14748,0.66233,0.38123,0.28458,0.25312,0.14294,0.83651,1.15194,0.70645,0.000516079,0.000516079,0.000516079
16,2558.09,0.77006,1.1302,0.66085,0.38536,0.28321,0.23539,0.13158,0.84517,1.17675,0.71001,0.000501942,0.000501942,0.000501942
17,2716.73,0.76796,1.1257,0.65865,0.4051,0.2971,0.26203,0.1469,0.83046,1.1247,0.70494,0.000487805,0.000487805,0.000487805
18,2876.2,0.76212,1.10979,0.65779,0.40311,0.30783,0.27422,0.15518,0.81358,1.09979,0.69679,0.000473668,0.000473668,0.000473668
19,3035.47,0.75018,1.08981,0.65184,0.38249,0.30725,0.2691,0.15086,0.81554,1.10069,0.69481,0.00045953,0.00045953,0.00045953
