epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,336.508,0.77556,1.01256,0.91913,0.46526,0.34544,0.32947,0.18537,0.78203,0.99275,0.79753,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251
2,629.775,0.77551,0.9961,0.71018,0.4283,0.32141,0.29987,0.16914,0.81712,1.08624,0.75707,0.0198232,0.00660773,0.0198232,0.00660773,0.0198232,0.00660773,0.0198232,0.00660773
3,906.94,0.7938,1.01008,0.67645,0.45573,0.34799,0.31777,0.17973,0.78854,1.02753,0.71694,0.0295188,0.00983959,0.0295188,0.00983959,0.0295188,0.00983959,0.0295188,0.00983959
4,1179.07,0.79401,1.01306,0.66156,0.43215,0.33514,0.30694,0.17386,0.7943,1.0558,0.7229,0.0293146,0.00977154,0.0293146,0.00977154,0.0293146,0.00977154,0.0293146,0.00977154
5,1446.44,0.78372,0.98653,0.65028,0.46732,0.36289,0.34288,0.19534,0.76708,0.9696,0.69065,0.0290862,0.00969538,0.0290862,0.00969538,0.0290862,0.00969538,0.0290862,0.00969538
6,1714.08,0.77706,0.96486,0.64054,0.5022,0.36963,0.36144,0.2041,0.7606,0.94436,0.68048,0.0288577,0.00961923,0.0288577,0.00961923,0.0288577,0.00961923,0.0288577,0.00961923
7,1983.71,0.76961,0.94442,0.63503,0.49843,0.37869,0.36903,0.21197,0.74595,0.92719,0.67135,0.0286292,0.00954308,0.0286292,0.00954308,0.0286292,0.00954308,0.0286292,0.00954308
8,2252.65,0.76031,0.92641,0.62879,0.5022,0.38452,0.37565,0.21473,0.74142,0.91064,0.66627,0.0284008,0.00946692,0.0284008,0.00946692,0.0284008,0.00946692,0.0284008,0.00946692
9,2522.04,0.75127,0.90913,0.62477,0.50114,0.39345,0.38271,0.22068,0.7327,0.89907,0.66009,0.0281723,0.00939077,0.0281723,0.00939077,0.0281723,0.00939077,0.0281723,0.00939077
10,2790.87,0.74774,0.89416,0.61918,0.49863,0.38537,0.37592,0.21674,0.73638,0.89712,0.65891,0.0279438,0.00931462,0.0279438,0.00931462,0.0279438,0.00931462,0.0279438,0.00931462
11,3060.75,0.73724,0.87812,0.6158,0.50822,0.38537,0.37485,0.21418,0.73605,0.89814,0.65743,0.0277154,0.00923846,0.0277154,0.00923846,0.0277154,0.00923846,0.0277154,0.00923846
12,3329.2,0.73446,0.87242,0.61401,0.50776,0.41247,0.4027,0.23401,0.72097,0.86342,0.64949,0.0274869,0.00916231,0.0274869,0.00916231,0.0274869,0.00916231,0.0274869,0.00916231
13,3595.88,0.72875,0.85789,0.6113,0.53045,0.4065,0.39937,0.22972,0.7255,0.87125,0.64929,0.0272585,0.00908615,0.0272585,0.00908615,0.0272585,0.00908615,0.0272585,0.00908615
14,3864.95,0.72257,0.84881,0.60746,0.519,0.41701,0.40118,0.23378,0.71447,0.85639,0.6447,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
15,4134.99,0.72521,0.83812,0.60527,0.53212,0.41504,0.41089,0.23944,0.71337,0.84394,0.64317,0.0268015,0.00893385,0.0268015,0.00893385,0.0268015,0.00893385,0.0268015,0.00893385
16,4404.24,0.7216,0.83016,0.6051,0.53891,0.41619,0.41098,0.23909,0.7123,0.83875,0.64016,0.0265731,0.00885769,0.0265731,0.00885769,0.0265731,0.00885769,0.0265731,0.00885769
17,4673.02,0.71636,0.81971,0.60172,0.53563,0.4169,0.40811,0.24005,0.70847,0.83218,0.63709,0.0263446,0.00878154,0.0263446,0.00878154,0.0263446,0.00878154,0.0263446,0.00878154
18,4942.12,0.7145,0.81219,0.60052,0.52924,0.42603,0.41546,0.24301,0.70692,0.83633,0.63644,0.0261162,0.00870538,0.0261162,0.00870538,0.0261162,0.00870538,0.0261162,0.00870538
19,5208.63,0.70597,0.80573,0.59839,0.54362,0.43154,0.41907,0.24383,0.70525,0.82399,0.635,0.0258877,0.00862923,0.0258877,0.00862923,0.0258877,0.00862923,0.0258877,0.00862923
20,5477.22,0.70373,0.79728,0.59641,0.55674,0.4224,0.42472,0.24862,0.70212,0.82097,0.63321,0.0256592,0.00855308,0.0256592,0.00855308,0.0256592,0.00855308,0.0256592,0.00855308
21,5744.45,0.70111,0.79004,0.59519,0.55214,0.4265,0.42758,0.25015,0.69906,0.80631,0.63055,0.0254308,0.00847692,0.0254308,0.00847692,0.0254308,0.00847692,0.0254308,0.00847692
22,6014.25,0.6972,0.78336,0.5929,0.54015,0.42595,0.42343,0.2488,0.70067,0.81445,0.63068,0.0252023,0.00840077,0.0252023,0.00840077,0.0252023,0.00840077,0.0252023,0.00840077
23,6283.69,0.69457,0.77645,0.59352,0.54766,0.43065,0.4239,0.24831,0.69833,0.81201,0.62941,0.0249738,0.00832462,0.0249738,0.00832462,0.0249738,0.00832462,0.0249738,0.00832462
24,6555.34,0.69233,0.76761,0.59108,0.5477,0.43766,0.43558,0.25379,0.69619,0.79981,0.62799,0.0247454,0.00824846,0.0247454,0.00824846,0.0247454,0.00824846,0.0247454,0.00824846
25,6827.73,0.68914,0.76149,0.58968,0.5487,0.4386,0.43806,0.25685,0.69852,0.80068,0.62744,0.0245169,0.00817231,0.0245169,0.00817231,0.0245169,0.00817231,0.0245169,0.00817231
26,7095.51,0.69183,0.76132,0.5897,0.54845,0.44288,0.43592,0.25598,0.69017,0.79874,0.62437,0.0242885,0.00809615,0.0242885,0.00809615,0.0242885,0.00809615,0.0242885,0.00809615
27,7361.91,0.68662,0.7548,0.58654,0.5753,0.4346,0.43652,0.25705,0.69147,0.78992,0.62323,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
28,7630.47,0.68322,0.74552,0.58547,0.55933,0.43719,0.43659,0.25788,0.68811,0.78462,0.62198,0.0238315,0.00794385,0.0238315,0.00794385,0.0238315,0.00794385,0.0238315,0.00794385
29,7898.22,0.68231,0.74379,0.58472,0.56316,0.4387,0.44009,0.25842,0.68883,0.78449,0.62131,0.0236031,0.00786769,0.0236031,0.00786769,0.0236031,0.00786769,0.0236031,0.00786769
30,8168.32,0.68054,0.7368,0.58359,0.5467,0.45216,0.44247,0.25974,0.68687,0.78059,0.62061,0.0233746,0.00779154,0.0233746,0.00779154,0.0233746,0.00779154,0.0233746,0.00779154
31,8436.59,0.67807,0.73403,0.58346,0.56238,0.44496,0.44381,0.26019,0.68997,0.78671,0.62071,0.0231462,0.00771538,0.0231462,0.00771538,0.0231462,0.00771538,0.0231462,0.00771538
32,8705.44,0.67791,0.72618,0.58208,0.55288,0.44985,0.44632,0.26248,0.68549,0.77814,0.61968,0.0229177,0.00763923,0.0229177,0.00763923,0.0229177,0.00763923,0.0229177,0.00763923
33,8971.76,0.67536,0.72495,0.58186,0.56754,0.4448,0.44835,0.26195,0.68613,0.77689,0.61805,0.0226892,0.00756308,0.0226892,0.00756308,0.0226892,0.00756308,0.0226892,0.00756308
34,9240.47,0.67241,0.72099,0.57979,0.56477,0.44057,0.44167,0.25914,0.68563,0.77668,0.61793,0.0224608,0.00748692,0.0224608,0.00748692,0.0224608,0.00748692,0.0224608,0.00748692
35,9508.14,0.6711,0.71529,0.57917,0.56921,0.44585,0.44611,0.26515,0.68286,0.77265,0.61688,0.0222323,0.00741077,0.0222323,0.00741077,0.0222323,0.00741077,0.0222323,0.00741077
36,9780.45,0.66656,0.70936,0.57968,0.56725,0.45015,0.44375,0.26259,0.68155,0.76946,0.61575,0.0220038,0.00733462,0.0220038,0.00733462,0.0220038,0.00733462,0.0220038,0.00733462
37,10051.7,0.66502,0.70503,0.57764,0.5678,0.43972,0.44638,0.2633,0.68298,0.77309,0.61486,0.0217754,0.00725846,0.0217754,0.00725846,0.0217754,0.00725846,0.0217754,0.00725846
38,10322.7,0.66635,0.70362,0.57745,0.56449,0.45741,0.45064,0.26618,0.68094,0.767,0.61489,0.0215469,0.00718231,0.0215469,0.00718231,0.0215469,0.00718231,0.0215469,0.00718231
39,10594,0.66075,0.69612,0.5752,0.57094,0.45098,0.45175,0.26762,0.68244,0.76417,0.61503,0.0213185,0.00710615,0.0213185,0.00710615,0.0213185,0.00710615,0.0213185,0.00710615
