epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,225.518,4.15731,4.55572,3.54078,0.22645,0.06962,0.01047,0.00331,3.16938,2.81138,2.40656,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251
2,411.613,2.71377,2.71249,1.89639,0.23632,0.10407,0.06013,0.02642,2.29968,2.16118,1.53073,0.0198764,0.00662548,0.0198764,0.00662548,0.0198764,0.00662548,0.0198764,0.00662548
3,586.182,2.19263,2.1144,1.42323,0.18808,0.16836,0.09491,0.04449,2.07228,1.91444,1.34029,0.0296786,0.00989285,0.0296786,0.00989285,0.0296786,0.00989285,0.0296786,0.00989285
4,753.339,1.95127,1.81079,1.26876,0.23229,0.22285,0.15477,0.07988,1.79077,1.57316,1.21555,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,920.626,1.80231,1.6064,1.18832,0.30452,0.25352,0.20207,0.11071,1.65024,1.40491,1.14559,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,1086.95,1.72217,1.48546,1.14308,0.3396,0.2864,0.2343,0.12893,1.59682,1.34686,1.12688,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,1254.94,1.66605,1.40722,1.11652,0.3555,0.29781,0.25278,0.14135,1.55594,1.29085,1.10103,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,1421.64,1.621,1.34858,1.08957,0.39476,0.31644,0.27632,0.15447,1.54643,1.26471,1.08408,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,1588.13,1.59022,1.30843,1.06908,0.40571,0.32794,0.29223,0.16689,1.50462,1.2259,1.06024,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,1754.97,1.57258,1.27388,1.05173,0.43383,0.33684,0.31485,0.17805,1.47669,1.17816,1.04584,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,1921.5,1.53969,1.23303,1.0404,0.44306,0.33865,0.31568,0.17904,1.46997,1.18851,1.03842,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,2088.06,1.52301,1.21679,1.03097,0.44018,0.35424,0.32898,0.18852,1.456,1.15355,1.03336,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,2253.63,1.50571,1.18414,1.02401,0.45703,0.35742,0.33804,0.19289,1.44736,1.13474,1.02312,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,2419.39,1.48581,1.16854,1.01277,0.46123,0.37291,0.35146,0.2008,1.4211,1.11611,1.01551,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,2585.7,1.48676,1.14862,1.00724,0.4718,0.37538,0.35726,0.20709,1.40925,1.09628,1.00989,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,2752.17,1.47225,1.13165,1.00538,0.49352,0.37664,0.36462,0.21017,1.40993,1.08717,1.0076,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,2919.3,1.45735,1.11316,0.99613,0.46955,0.38005,0.36113,0.20833,1.39526,1.08949,1.00442,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,3085.74,1.45192,1.09907,0.99477,0.48968,0.38703,0.37701,0.22043,1.38543,1.06875,0.99745,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,3251.91,1.42977,1.08596,0.99086,0.4951,0.39609,0.3862,0.22398,1.38326,1.05677,0.99409,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,3418.22,1.42559,1.06994,0.98526,0.49365,0.38765,0.38135,0.22223,1.38046,1.04543,0.99155,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,3585.69,1.41621,1.05997,0.98119,0.50446,0.39624,0.39117,0.22786,1.36653,1.03988,0.98696,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,3754.17,1.40622,1.05038,0.97748,0.48998,0.40177,0.39157,0.22962,1.35762,1.02878,0.98563,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,3920.06,1.39801,1.03686,0.97662,0.52669,0.4014,0.39915,0.23408,1.35428,1.01928,0.98299,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,4087.32,1.39102,1.02638,0.97229,0.52128,0.39742,0.39777,0.23421,1.3532,1.0141,0.98005,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,4253.41,1.38319,1.01527,0.97016,0.52024,0.41457,0.40542,0.23814,1.35532,1.01436,0.98224,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,4419.31,1.3892,1.01688,0.97072,0.52412,0.40572,0.40651,0.2392,1.34014,1.00777,0.9784,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,4585.51,1.37628,1.0052,0.96311,0.53143,0.41865,0.41476,0.24371,1.33821,1.00063,0.97555,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,4751.39,1.36901,0.99262,0.96148,0.52603,0.41042,0.40381,0.23991,1.33045,0.99888,0.97483,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,4917.84,1.36654,0.99034,0.9593,0.51861,0.41954,0.41282,0.24541,1.32983,0.98814,0.97348,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,5084.5,1.36223,0.9794,0.95822,0.53376,0.41652,0.41415,0.24398,1.33059,1.001,0.97122,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,5251.06,1.35564,0.97458,0.95791,0.54672,0.42483,0.42478,0.24988,1.3285,0.98381,0.97096,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,5417.68,1.35414,0.96332,0.95448,0.52694,0.43378,0.42737,0.25326,1.31977,0.97787,0.96868,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,5583.72,1.34836,0.9624,0.95512,0.54297,0.42565,0.42318,0.24904,1.32405,0.97087,0.96901,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,5752,1.34284,0.95932,0.95116,0.5353,0.43122,0.42713,0.25117,1.32642,0.97165,0.97032,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,5917.67,1.33918,0.94866,0.94901,0.54557,0.43104,0.43466,0.25851,1.31245,0.96417,0.96575,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,6084.32,1.33006,0.94093,0.94927,0.55602,0.43084,0.43232,0.25481,1.31436,0.96406,0.96493,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,6250.25,1.32663,0.93588,0.94678,0.54237,0.43246,0.43268,0.25558,1.3111,0.96349,0.96335,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,6417.19,1.32993,0.934,0.9465,0.55691,0.42838,0.4315,0.25545,1.31361,0.96338,0.96539,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,6583.64,1.31938,0.92261,0.94163,0.56215,0.42922,0.43773,0.26011,1.30785,0.95509,0.96263,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,6751.01,1.31925,0.92218,0.94246,0.55804,0.43329,0.43957,0.26041,1.30506,0.95335,0.9618,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,6916.63,1.30925,0.91195,0.94177,0.5549,0.43979,0.44219,0.26226,1.30288,0.94909,0.96025,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,7082.69,1.31035,0.91203,0.94147,0.56215,0.43608,0.43623,0.26055,1.30167,0.94962,0.95948,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,7248.43,1.31326,0.91136,0.93895,0.56901,0.4392,0.4459,0.26703,1.29235,0.93958,0.95788,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,7414.79,1.30395,0.89806,0.93701,0.56865,0.43831,0.44535,0.26558,1.29735,0.94121,0.95778,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,7581.02,1.29941,0.89262,0.93576,0.57044,0.44123,0.44761,0.26501,1.29466,0.94024,0.95653,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,7747.38,1.30266,0.89241,0.93763,0.57196,0.44358,0.4508,0.2696,1.29226,0.93762,0.95588,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,7914.11,1.29574,0.88808,0.93551,0.55566,0.44527,0.44869,0.26728,1.29439,0.93987,0.95614,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,8080.91,1.29512,0.88635,0.93412,0.56147,0.4469,0.45243,0.2708,1.28972,0.93106,0.95643,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,8246.89,1.29091,0.87965,0.93141,0.57978,0.44121,0.45509,0.27184,1.28617,0.93016,0.95571,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,8412.79,1.28549,0.87912,0.93266,0.58108,0.43797,0.45234,0.26995,1.29159,0.93454,0.95589,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,8578.93,1.28249,0.87174,0.93018,0.57089,0.44386,0.4534,0.27058,1.28765,0.92902,0.95421,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,8745.23,1.27777,0.86295,0.93005,0.56013,0.45051,0.45461,0.27063,1.28855,0.92349,0.95451,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,8912.06,1.28198,0.86851,0.93044,0.5651,0.44507,0.45195,0.26836,1.29051,0.92667,0.95462,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,9078.68,1.27645,0.86159,0.92789,0.57117,0.45092,0.45945,0.27379,1.28574,0.92204,0.95415,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,9245.49,1.26722,0.85451,0.92841,0.55982,0.45562,0.45246,0.2695,1.2889,0.92668,0.95471,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,9411.82,1.27107,0.84979,0.92635,0.5661,0.45399,0.45527,0.27231,1.28606,0.92262,0.95293,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,9579.33,1.26746,0.84816,0.92531,0.57319,0.45414,0.45633,0.27317,1.28397,0.9208,0.95131,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,9745.02,1.25841,0.83872,0.92535,0.58383,0.44576,0.4565,0.27362,1.28091,0.92049,0.95141,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,9910.84,1.26462,0.84027,0.92458,0.57293,0.45749,0.46116,0.27527,1.28403,0.91911,0.95256,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,10077.8,1.26211,0.84201,0.9241,0.59082,0.44607,0.46151,0.27655,1.2821,0.9164,0.95133,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,10244.1,1.25334,0.83334,0.92319,0.58536,0.45254,0.46439,0.27942,1.28071,0.91507,0.95108,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,10410.6,1.25594,0.83238,0.92128,0.58282,0.45629,0.46267,0.27675,1.27863,0.91568,0.95063,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,10576.5,1.24657,0.82476,0.92135,0.58398,0.45052,0.4627,0.27801,1.28289,0.9152,0.95079,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,10742.6,1.24779,0.82436,0.92074,0.57584,0.46029,0.46259,0.2759,1.28665,0.9147,0.95173,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,10909,1.2456,0.8173,0.91906,0.58173,0.45233,0.46076,0.27611,1.28008,0.91306,0.95045,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,11075.1,1.24526,0.81972,0.92054,0.58337,0.45174,0.46097,0.27504,1.28099,0.91442,0.95048,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
