epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.0825,4.01996,4.19748,3.70881,0.00811,0.00314,0.00063,0.00012,4.63959,4.39059,3.84193,0.000236224,0.000236224,0.000236224
2,102.937,2.93995,2.8917,2.51313,0.37834,0.06203,0.02478,0.00946,2.71785,2.51795,1.99423,0.00045075,0.00045075,0.00045075
3,153.496,2.42309,2.35418,1.8815,0.38792,0.07598,0.03865,0.01747,2.45755,2.28673,1.66114,0.000641714,0.000641714,0.000641714
4,203.83,2.12435,2.06311,1.6209,0.30714,0.09287,0.05344,0.02567,2.31037,2.07318,1.54535,0.000607971,0.000607971,0.000607971
5,253.285,1.9444,1.88804,1.4819,0.38948,0.10988,0.06773,0.0344,2.13804,1.96617,1.42054,0.000572628,0.000572628,0.000572628
6,303.855,1.84293,1.77558,1.3996,0.34394,0.12488,0.068,0.03471,2.10483,1.9768,1.38251,0.000537285,0.000537285,0.000537285
7,354.934,1.76579,1.69032,1.35266,0.17081,0.13837,0.07903,0.04012,2.05932,1.86123,1.37688,0.000501942,0.000501942,0.000501942
8,404.17,1.7029,1.61962,1.30847,0.17501,0.13453,0.08563,0.04439,2.01718,1.80895,1.34275,0.000466599,0.000466599,0.000466599
9,454.039,1.6766,1.58471,1.29333,0.2923,0.14037,0.09461,0.04849,1.96422,1.73778,1.31413,0.000431256,0.000431256,0.000431256
10,504.149,1.63538,1.54501,1.27349,0.2044,0.14623,0.08988,0.04712,1.96966,1.74817,1.30408,0.000395913,0.000395913,0.000395913
11,554.03,1.55866,1.51322,1.24508,0.23904,0.15578,0.10413,0.05452,1.9182,1.72404,1.27949,0.00036057,0.00036057,0.00036057
12,602.299,1.52599,1.45558,1.22606,0.25417,0.16206,0.10857,0.05728,1.91004,1.69917,1.26275,0.000325227,0.000325227,0.000325227
13,650.772,1.51137,1.43231,1.21288,0.23867,0.14862,0.10775,0.05828,1.89055,1.696,1.27665,0.000289884,0.000289884,0.000289884
14,699.037,1.49599,1.41115,1.20607,0.21756,0.17163,0.11525,0.061,1.89165,1.65956,1.25231,0.000254541,0.000254541,0.000254541
15,747.057,1.46931,1.37773,1.19561,0.23375,0.18061,0.12073,0.06447,1.87157,1.6615,1.23981,0.000219198,0.000219198,0.000219198
16,795.132,1.45315,1.34654,1.17975,0.28201,0.17838,0.12291,0.06731,1.83255,1.61041,1.2289,0.000183855,0.000183855,0.000183855
17,843.435,1.44332,1.32826,1.17234,0.25488,0.17988,0.12715,0.06887,1.8411,1.61766,1.23156,0.000148512,0.000148512,0.000148512
18,891.717,1.41794,1.30058,1.16377,0.242,0.17524,0.1227,0.06659,1.84992,1.60453,1.23804,0.000113169,0.000113169,0.000113169
19,939.344,1.41467,1.30072,1.16119,0.25061,0.17535,0.12796,0.06991,1.8197,1.58485,1.22332,7.7826e-05,7.7826e-05,7.7826e-05
20,987.496,1.39576,1.27501,1.14885,0.24849,0.17942,0.13104,0.07187,1.81237,1.5881,1.21796,4.2483e-05,4.2483e-05,4.2483e-05
