epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,233.412,1.47444,1.1279,0.9942,0.435,0.3234,0.30313,0.17164,1.5219,1.17213,1.02268,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251
2,425.711,1.49287,1.13368,0.99451,0.42904,0.33394,0.31165,0.17866,1.48931,1.1528,1.01655,0.0198232,0.00660773,0.0198232,0.00660773,0.0198232,0.00660773,0.0198232,0.00660773
3,603.263,1.53347,1.16624,1.00324,0.42021,0.33199,0.302,0.1704,1.51202,1.19196,1.01956,0.0295188,0.00983959,0.0295188,0.00983959,0.0295188,0.00983959,0.0295188,0.00983959
4,774.618,1.53397,1.17433,1.00507,0.43045,0.33918,0.31618,0.1773,1.50529,1.16898,1.01782,0.0293146,0.00977154,0.0293146,0.00977154,0.0293146,0.00977154,0.0293146,0.00977154
5,946.269,1.51101,1.15615,0.99852,0.43599,0.3442,0.32205,0.1836,1.4702,1.14573,1.00536,0.0290862,0.00969538,0.0290862,0.00969538,0.0290862,0.00969538,0.0290862,0.00969538
6,1117.89,1.50049,1.13495,0.99259,0.4583,0.36748,0.34644,0.19898,1.44411,1.11275,1.0012,0.0288577,0.00961923,0.0288577,0.00961923,0.0288577,0.00961923,0.0288577,0.00961923
7,1289.35,1.48721,1.1177,0.98988,0.46979,0.37063,0.35692,0.20458,1.43408,1.09701,0.99717,0.0286292,0.00954308,0.0286292,0.00954308,0.0286292,0.00954308,0.0286292,0.00954308
8,1462.02,1.4691,1.0993,0.98273,0.47686,0.3644,0.34674,0.19787,1.43646,1.11995,0.99582,0.0284008,0.00946692,0.0284008,0.00946692,0.0284008,0.00946692,0.0284008,0.00946692
9,1635.08,1.45093,1.08197,0.97887,0.48587,0.38439,0.37032,0.21322,1.40879,1.07211,0.98828,0.0281723,0.00939077,0.0281723,0.00939077,0.0281723,0.00939077,0.0281723,0.00939077
10,1807.04,1.44594,1.07219,0.97457,0.5061,0.38456,0.37799,0.219,1.39399,1.06167,0.98436,0.0279438,0.00931462,0.0279438,0.00931462,0.0279438,0.00931462,0.0279438,0.00931462
11,1978.57,1.42627,1.04802,0.97141,0.50147,0.37094,0.35846,0.20623,1.40417,1.07234,0.98849,0.0277154,0.00923846,0.0277154,0.00923846,0.0277154,0.00923846,0.0277154,0.00923846
12,2150.09,1.42053,1.04733,0.96908,0.49156,0.39905,0.38277,0.22113,1.39428,1.05253,0.98457,0.0274869,0.00916231,0.0274869,0.00916231,0.0274869,0.00916231,0.0274869,0.00916231
13,2322,1.4101,1.03137,0.96792,0.49095,0.39079,0.3789,0.22006,1.3942,1.0573,0.98187,0.0272585,0.00908615,0.0272585,0.00908615,0.0272585,0.00908615,0.0272585,0.00908615
14,2494.56,1.39859,1.02515,0.96244,0.51288,0.39434,0.38594,0.22547,1.37408,1.03517,0.97781,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
15,2666.37,1.40493,1.01784,0.96106,0.51564,0.40681,0.39983,0.23208,1.36661,1.02348,0.97934,0.0268015,0.00893385,0.0268015,0.00893385,0.0268015,0.00893385,0.0268015,0.00893385
16,2838.81,1.39719,1.00719,0.96197,0.5179,0.39866,0.39705,0.2316,1.36438,1.01896,0.97577,0.0265731,0.00885769,0.0265731,0.00885769,0.0265731,0.00885769,0.0265731,0.00885769
17,3010.77,1.38747,1.00003,0.95704,0.5196,0.39924,0.39309,0.23024,1.36146,1.02863,0.97502,0.0263446,0.00878154,0.0263446,0.00878154,0.0263446,0.00878154,0.0263446,0.00878154
18,3181.77,1.3844,0.99204,0.95674,0.51597,0.40661,0.39997,0.23235,1.36,1.02344,0.97302,0.0261162,0.00870538,0.0261162,0.00870538,0.0261162,0.00870538,0.0261162,0.00870538
19,3353.69,1.36764,0.98175,0.95501,0.50202,0.41497,0.39981,0.23372,1.35672,1.01489,0.97254,0.0258877,0.00862923,0.0258877,0.00862923,0.0258877,0.00862923,0.0258877,0.00862923
20,3526.04,1.36437,0.97533,0.95275,0.52782,0.41927,0.41325,0.2397,1.35053,0.99737,0.97106,0.0256592,0.00855308,0.0256592,0.00855308,0.0256592,0.00855308,0.0256592,0.00855308
21,3698.2,1.35756,0.96658,0.95039,0.51957,0.41402,0.41004,0.23837,1.34887,1.00172,0.96955,0.0254308,0.00847692,0.0254308,0.00847692,0.0254308,0.00847692,0.0254308,0.00847692
22,3870.18,1.35327,0.964,0.94856,0.51246,0.41936,0.40993,0.24098,1.34417,1.00007,0.96919,0.0252023,0.00840077,0.0252023,0.00840077,0.0252023,0.00840077,0.0252023,0.00840077
23,4041.88,1.34856,0.95419,0.94971,0.5314,0.41516,0.41391,0.24331,1.33686,0.9902,0.96777,0.0249738,0.00832462,0.0249738,0.00832462,0.0249738,0.00832462,0.0249738,0.00832462
24,4214.6,1.34241,0.94672,0.94657,0.52853,0.42326,0.42186,0.24669,1.33723,0.98418,0.96678,0.0247454,0.00824846,0.0247454,0.00824846,0.0247454,0.00824846,0.0247454,0.00824846
25,4388.35,1.33794,0.93915,0.94556,0.54365,0.42083,0.41947,0.24612,1.34011,0.99103,0.96912,0.0245169,0.00817231,0.0245169,0.00817231,0.0245169,0.00817231,0.0245169,0.00817231
26,4558.47,1.34199,0.94244,0.94652,0.53303,0.42766,0.42283,0.24776,1.32672,0.98326,0.96393,0.0242885,0.00809615,0.0242885,0.00809615,0.0242885,0.00809615,0.0242885,0.00809615
27,4728.83,1.33217,0.93225,0.94091,0.53376,0.43544,0.42961,0.25177,1.32538,0.971,0.96386,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
28,4900.09,1.32624,0.92303,0.94006,0.55082,0.42086,0.4242,0.25072,1.32222,0.97233,0.96389,0.0238315,0.00794385,0.0238315,0.00794385,0.0238315,0.00794385,0.0238315,0.00794385
29,5071.32,1.32439,0.92239,0.93874,0.54177,0.42655,0.42808,0.25247,1.32118,0.97093,0.96312,0.0236031,0.00786769,0.0236031,0.00786769,0.0236031,0.00786769,0.0236031,0.00786769
30,5243.31,1.32247,0.91482,0.93838,0.53334,0.43272,0.42854,0.25255,1.31667,0.97204,0.96207,0.0233746,0.00779154,0.0233746,0.00779154,0.0233746,0.00779154,0.0233746,0.00779154
31,5414.76,1.31637,0.91055,0.9383,0.54036,0.43342,0.43214,0.2558,1.31428,0.96544,0.96103,0.0231462,0.00771538,0.0231462,0.00771538,0.0231462,0.00771538,0.0231462,0.00771538
32,5587.19,1.31521,0.90424,0.93575,0.54504,0.43539,0.43481,0.25519,1.31653,0.96488,0.96158,0.0229177,0.00763923,0.0229177,0.00763923,0.0229177,0.00763923,0.0229177,0.00763923
33,5757.99,1.31191,0.90257,0.93718,0.55577,0.43543,0.43556,0.25628,1.31786,0.95707,0.9584,0.0226892,0.00756308,0.0226892,0.00756308,0.0226892,0.00756308,0.0226892,0.00756308
34,5929.02,1.30528,0.89857,0.9335,0.56796,0.43109,0.44107,0.25812,1.31863,0.9561,0.96004,0.0224608,0.00748692,0.0224608,0.00748692,0.0224608,0.00748692,0.0224608,0.00748692
35,6099.45,1.30322,0.89228,0.93251,0.55848,0.4377,0.43773,0.25913,1.31095,0.95436,0.96085,0.0222323,0.00741077,0.0222323,0.00741077,0.0222323,0.00741077,0.0222323,0.00741077
36,6270.3,1.29499,0.88311,0.93339,0.55755,0.44547,0.44145,0.26128,1.30801,0.95044,0.95945,0.0220038,0.00733462,0.0220038,0.00733462,0.0220038,0.00733462,0.0220038,0.00733462
37,6442.25,1.29165,0.87968,0.93097,0.56487,0.44124,0.4424,0.26139,1.30441,0.94729,0.95692,0.0217754,0.00725846,0.0217754,0.00725846,0.0217754,0.00725846,0.0217754,0.00725846
38,6614.16,1.29539,0.87863,0.93156,0.56097,0.44802,0.44711,0.26414,1.30667,0.94612,0.95748,0.0215469,0.00718231,0.0215469,0.00718231,0.0215469,0.00718231,0.0215469,0.00718231
39,6786.29,1.28563,0.86936,0.92696,0.55732,0.43956,0.44143,0.26247,1.30782,0.95012,0.95841,0.0213185,0.00710615,0.0213185,0.00710615,0.0213185,0.00710615,0.0213185,0.00710615
40,6959.43,1.28545,0.86945,0.92828,0.55407,0.44708,0.44453,0.26189,1.30096,0.94335,0.95554,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
41,7131.52,1.2759,0.85926,0.9275,0.5552,0.44322,0.44398,0.26319,1.30128,0.94519,0.9563,0.0208615,0.00695385,0.0208615,0.00695385,0.0208615,0.00695385,0.0208615,0.00695385
42,7303.2,1.27752,0.86072,0.92773,0.56379,0.44494,0.4485,0.2658,1.30259,0.94062,0.95696,0.0206331,0.00687769,0.0206331,0.00687769,0.0206331,0.00687769,0.0206331,0.00687769
43,7475.91,1.28054,0.86041,0.92537,0.54387,0.45495,0.44942,0.26764,1.29636,0.93832,0.95638,0.0204046,0.00680154,0.0204046,0.00680154,0.0204046,0.00680154,0.0204046,0.00680154
44,7647.92,1.27233,0.84908,0.92413,0.56425,0.44342,0.44993,0.26746,1.30107,0.93604,0.9568,0.0201762,0.00672538,0.0201762,0.00672538,0.0201762,0.00672538,0.0201762,0.00672538
45,7819.06,1.26705,0.84511,0.92292,0.55849,0.45053,0.45114,0.2665,1.2994,0.9391,0.95526,0.0199477,0.00664923,0.0199477,0.00664923,0.0199477,0.00664923,0.0199477,0.00664923
46,7990.98,1.27109,0.8446,0.92521,0.55811,0.45495,0.45159,0.26845,1.29831,0.93389,0.95646,0.0197192,0.00657308,0.0197192,0.00657308,0.0197192,0.00657308,0.0197192,0.00657308
47,8164.44,1.26511,0.84047,0.92322,0.56298,0.45057,0.44991,0.26585,1.30378,0.94146,0.95696,0.0194908,0.00649692,0.0194908,0.00649692,0.0194908,0.00649692,0.0194908,0.00649692
48,8339.1,1.26466,0.83857,0.92236,0.57394,0.44668,0.4515,0.26849,1.29421,0.93063,0.95368,0.0192623,0.00642077,0.0192623,0.00642077,0.0192623,0.00642077,0.0192623,0.00642077
49,8512.11,1.25998,0.83255,0.91962,0.56397,0.45215,0.45029,0.26855,1.29499,0.93685,0.95512,0.0190338,0.00634462,0.0190338,0.00634462,0.0190338,0.00634462,0.0190338,0.00634462
50,8684.75,1.25566,0.83223,0.92093,0.56296,0.45372,0.45608,0.27104,1.2954,0.93015,0.95332,0.0188054,0.00626846,0.0188054,0.00626846,0.0188054,0.00626846,0.0188054,0.00626846
51,8857.61,1.25098,0.82576,0.91793,0.55729,0.45649,0.45264,0.2687,1.29402,0.93024,0.95287,0.0185769,0.00619231,0.0185769,0.00619231,0.0185769,0.00619231,0.0185769,0.00619231
52,9030.82,1.24794,0.81734,0.91902,0.57343,0.4497,0.45612,0.27109,1.29604,0.93122,0.95331,0.0183485,0.00611615,0.0183485,0.00611615,0.0183485,0.00611615,0.0183485,0.00611615
53,9203.74,1.25275,0.82164,0.91944,0.55424,0.45848,0.45136,0.26733,1.29757,0.93335,0.95366,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
54,9377.09,1.24745,0.81632,0.91695,0.55682,0.45516,0.45097,0.26742,1.29075,0.92724,0.95159,0.0178915,0.00596385,0.0178915,0.00596385,0.0178915,0.00596385,0.0178915,0.00596385
55,9548.2,1.23775,0.80897,0.91766,0.57943,0.44629,0.45532,0.26998,1.29399,0.92725,0.95241,0.0176631,0.00588769,0.0176631,0.00588769,0.0176631,0.00588769,0.0176631,0.00588769
56,9721.37,1.24054,0.80567,0.91515,0.57427,0.45355,0.45717,0.27187,1.29401,0.92847,0.95407,0.0174346,0.00581154,0.0174346,0.00581154,0.0174346,0.00581154,0.0174346,0.00581154
