epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,326.293,2.91316,3.93835,2.29454,0.02624,0.06467,0.00873,0.00266,2.31931,2.94597,1.70871,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251
2,613.655,1.73453,2.73241,1.25974,0.25566,0.10632,0.06135,0.02713,1.31241,2.20554,1.03565,0.0198764,0.00662548,0.0198764,0.00662548,0.0198764,0.00662548,0.0198764,0.00662548
3,882.127,1.18959,2.13295,0.91219,0.19729,0.16683,0.10856,0.05306,1.06056,1.8404,0.8872,0.0296786,0.00989285,0.0296786,0.00989285,0.0296786,0.00989285,0.0296786,0.00989285
4,1143.72,1.03093,1.73552,0.79711,0.26969,0.23067,0.17516,0.09309,0.92697,1.43722,0.79397,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1404.73,0.95211,1.48947,0.7416,0.34376,0.26432,0.22584,0.12155,0.88038,1.26964,0.75937,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,1664.49,0.90694,1.34833,0.70996,0.38204,0.29613,0.25859,0.13968,0.84938,1.18223,0.73899,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,1924.88,0.87886,1.26303,0.69244,0.37256,0.31797,0.27631,0.1538,0.81517,1.12187,0.71926,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,2186.21,0.853,1.19424,0.67693,0.39978,0.33247,0.28881,0.15955,0.8066,1.09067,0.70812,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,2446.1,0.83218,1.14556,0.66644,0.41969,0.34195,0.31183,0.17316,0.79224,1.06057,0.70199,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,2706.9,0.8194,1.10254,0.65592,0.42723,0.3557,0.32891,0.1859,0.76858,1.01783,0.68578,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,2967.18,0.80153,1.0635,0.64833,0.45842,0.35573,0.33097,0.18826,0.76173,0.98897,0.68162,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,3228.08,0.79277,1.04475,0.64345,0.47966,0.36243,0.34626,0.19695,0.7599,0.98255,0.67613,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,3489.13,0.78256,1.01096,0.63836,0.48088,0.37546,0.35767,0.20556,0.74611,0.936,0.66686,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,3751.03,0.77233,0.99136,0.63189,0.47044,0.3811,0.35962,0.20706,0.74277,0.94182,0.66573,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
